# GJJ 模型关键词索引表 (Model Keywords Index)
# 
# 用途说明：
# 1. 统一管理所有模型的关键词（去扩展名、去量化参数）
# 2. 支持模糊搜索和子目录匹配
# 3. 方便维护和扩展
#
# 字段说明：
# - id: 唯一标识符（小写，使用连字符分隔）
# - category: 模型类别 (unet/clip/vae/lora/controlnet/upscaler/audio/embedding)
# - keywords: 搜索关键词（多个用 | 分隔，已去除扩展名和量化参数）
# - display_name: 显示名称（人类可读）
# - description: 描述信息
# - tags: 标签（多个用 | 分隔）
# - priority: 优先级（0-100，数字越大越优先匹配）
#
# 规范化规则：
# 1. 去除扩展名：.safetensors, .ckpt, .pth, .pt, .bin, .gguf, .onnx
# 2. 去除量化参数：_fp8, _fp16, _bf16, _fp4, _nvfp4, _e4m3fn, _scaled, _turbo 等
# 3. 统一使用小写字母和连字符
#
# 示例：
# 原始文件名: "ltx-2.3-22b-distilled_transformer_only_fp8_input_scaled_v3.safetensors"
# 规范化后: "ltx-2.3-22b-distilled-transformer-only"
# 关键词: "ltx|2.3|22b|distilled|transformer|only"

clip-vit-h-14-laion2b-s32b-b79k	clip	clip|vit|h|14|laion2b	Clip Vit H 14 Laion2B S32B B79K	Clip Vit H 14 Laion2B S32B B79K (clip)	clip|clip-vision	60
clip-vit-large-patch14-model	clip	clip|vit|large|patch14|model	Clip Vit Large Patch14 Model	Clip Vit Large Patch14 Model (clip)	clip|clip	85
eva02-clip-l-336-psz14-s6b	clip	eva02|clip|l|336|psz14	Eva02 Clip L 336 Psz14 S6B	Eva02 Clip L 336 Psz14 S6B (clip)	clip|clip	85
full-encoder-small-decoder	clip	full-encoder-small-decoder|full encoder small decoder	Full Encoder Small Decoder	完整编码器小型解码器架构	clip|custom	75
gemma-3-12b-it	clip	gemma-3-12b|gemma 3 12b|it	Gemma 3 12B IT	Gemma 3 12B 指令微调文本编码器	gemma|text-encoder|12b	100
gemma-3-4b-it	clip	gemma|3|4b|it	Gemma 3 4B It	Gemma 3 4B It (clip)	clip|text-encoders	60
jina-clip	clip	jina|clip	Jina Clip	Jina Clip (clip)	clip|text-encoders	60
llama-3.1-8b-instruct	clip	llama|3.1|8b|instruct	Llama 3.1 8B Instruct	Llama 3.1 8B Instruct (clip)	clip|text-encoders	60
ltx-2.3-text-projection	clip	ltx-2.3-text|ltx 2.3 text|projection	LTX 2.3 Text Projection	LTX 2.3 文本投影编码器	ltx|text-encoder	90
mistral-3-small-flux2	clip	mistral|3|small|flux2	Mistral 3 Small Flux2	Mistral 3 Small Flux2 (clip)	clip|text-encoders	60
model	clip	model	Model	Model (clip)	clip|clip	85
model-00001-of-00002	clip	model|00001|of|00002	Model 00001 Of 00002	Model 00001 Of 00002 (clip)	clip|Qwen3-ASR	60
model-00002-of-00002	clip	model|00002|of|00002	Model 00002 Of 00002	Model 00002 Of 00002 (clip)	clip|Qwen3-ASR	60
model.fp16	clip	model.fp16	Model.Fp16	Model.Fp16 (clip)	clip|clip	85
open-clip-model	clip	open|clip|model	Open Clip Model	Open Clip Model (clip)	clip|clip	85
pytorch-model	clip	pytorch|model	Pytorch Model	Pytorch Model (clip)	clip|florence2	60
qwen-0.6b-ace15	clip	qwen-0.6b|qwen 0.6b|ace15	Qwen 0.6B ACE15	Qwen 0.6B ACE 专用模型	qwen|llm|0.6b	80
qwen-1.7b-ace15	clip	qwen-1.7b|qwen 1.7b|ace15	Qwen 1.7B ACE15	Qwen 1.7B ACE 专用模型	qwen|llm|1.7b	85
qwen-2.5-vl-7b	clip	qwen-2.5-vl|qwen25vl|7b	Qwen 2.5 VL 7B	Qwen 2.5 视觉语言 7B 模型	qwen|vl|7b	95
qwen-3-4b	clip	qwen-3-4b|qwen3 4b	Qwen 3 4B	Qwen 3 4B 语言模型	qwen|llm|4b	90
qwen-3-8b	clip	qwen-3-8b|qwen3 8b	Qwen 3 8B	Qwen 3 8B 语言模型	qwen|llm|8b	95
qwen-4b-ace15	clip	qwen|4b|ace15	Qwen 4B Ace15	Qwen 4B Ace15 (clip)	clip|clip	85
qwen2.5-3b-instruct	clip	qwen2.5|3b|instruct	Qwen2.5 3B Instruct	Qwen2.5 3B Instruct (clip)	clip|text-encoders	60
qwen2.5vl-7b-bf16	clip	qwen2.5vl|7b|bf16	Qwen2.5Vl 7B Bf16	Qwen2.5Vl 7B Bf16 (clip)	clip|clip	85
qwen3.5-4b	clip	qwen3.5|4b	Qwen3.5 4B	Qwen3.5 4B (clip)	clip|text-encoders	60
sdxl-zavychromaxl 	clip	sdxl|zavychromaxl 	Sdxl Zavychromaxl 	Sdxl Zavychromaxl  (clip)	clip|clip	85
sigclip-vision-patch14-384	clip	sigclip-vision|sigclip vision|patch14|384	SigCLIP Vision Patch14 384	SigCLIP 视觉编码器 384 分辨率	clip|vision	80
t5-v1-1-xxl-encoder-f16	clip	t5|v1|1|xxl|encoder	T5 V1 1 Xxl Encoder F16	T5 V1 1 Xxl Encoder F16 (clip)	clip|clip	85
t5xxl	clip	t5xxl|t5 xxl	T5 XXL	T5 XXL 文本编码器（多版本）	t5|text-encoder|sd3	90
umt5-xxl	clip	umt5-xxl|umt5 xxl	uMT5 XXL	Universal MT5 XXL 编码器	umt5|text-encoder	85
umt5-xxl-enc-bf16	clip	umt5|xxl|enc|bf16	Umt5 Xxl Enc Bf16	Umt5 Xxl Enc Bf16 (clip)	clip|text-encoders	60
umt5-xxl-enc-fp8	clip	umt5|xxl|enc|fp8	Umt5 Xxl Enc Fp8	Umt5 Xxl Enc Fp8 (clip)	clip|text-encoders	60
wav2vec2-large-english	clip	wav2vec2|large|english	Wav2Vec2 Large English	Wav2Vec2 Large English (clip)	clip|audio-encoders	60
control-v11f1p-sd15-depth	controlnet	control-v11f1p-sd15-depth|sd15-depth|depth-control	ControlNet SD15 Depth	SD1.5 深度控制网	controlnet|depth|sd15	85
controle-sd15-ip2p	controlnet	controle|sd15|ip2p	Controle Sd15 Ip2P	Controle Sd15 Ip2P (controlnet)	controlnet|controlnet	80
controle-sd15-shuffle	controlnet	controle|sd15|shuffle	Controle Sd15 Shuffle	Controle Sd15 Shuffle (controlnet)	controlnet|controlnet	80
controlf1e-sd15-tile	controlnet	controlf1e|sd15|tile	Controlf1E Sd15 Tile	Controlf1E Sd15 Tile (controlnet)	controlnet|controlnet	80
controlf1p-sd15-depth	controlnet	controlf1p|sd15|depth	Controlf1P Sd15 Depth	Controlf1P Sd15 Depth (controlnet)	controlnet|controlnet	80
controlp-sd15-canny	controlnet	controlp|sd15|canny	Controlp Sd15 Canny	Controlp Sd15 Canny (controlnet)	controlnet|controlnet	80
controlp-sd15-inpaint	controlnet	controlp|sd15|inpaint	Controlp Sd15 Inpaint	Controlp Sd15 Inpaint (controlnet)	controlnet|controlnet	80
controlp-sd15-lineart	controlnet	controlp|sd15|lineart	Controlp Sd15 Lineart	Controlp Sd15 Lineart (controlnet)	controlnet|controlnet	80
controlp-sd15-mlsd	controlnet	controlp|sd15|mlsd	Controlp Sd15 Mlsd	Controlp Sd15 Mlsd (controlnet)	controlnet|controlnet	80
controlp-sd15-normalbae	controlnet	controlp|sd15|normalbae	Controlp Sd15 Normalbae	Controlp Sd15 Normalbae (controlnet)	controlnet|controlnet	80
controlp-sd15-openpose	controlnet	controlp|sd15|openpose	Controlp Sd15 Openpose	Controlp Sd15 Openpose (controlnet)	controlnet|controlnet	80
controlp-sd15-scribble	controlnet	controlp|sd15|scribble	Controlp Sd15 Scribble	Controlp Sd15 Scribble (controlnet)	controlnet|controlnet	80
controlp-sd15-seg	controlnet	controlp|sd15|seg	Controlp Sd15 Seg	Controlp Sd15 Seg (controlnet)	controlnet|controlnet	80
controlp-sd15-softedge	controlnet	controlp|sd15|softedge	Controlp Sd15 Softedge	Controlp Sd15 Softedge (controlnet)	controlnet|controlnet	80
controlp-sd15s2-lineart-anime	controlnet	controlp|sd15s2|lineart|anime	Controlp Sd15S2 Lineart Anime	Controlp Sd15S2 Lineart Anime (controlnet)	controlnet|controlnet	80
controlu-sd15-tile	controlnet	controlu|sd15|tile	Controlu Sd15 Tile	Controlu Sd15 Tile (controlnet)	controlnet|controlnet	80
diffusion-pytorch-model	controlnet	diffusion|pytorch|model	Diffusion Pytorch Model	Diffusion Pytorch Model (controlnet)	controlnet|controlnet	80
ip-adapter	controlnet	ip|adapter	Ip Adapter	Ip Adapter (controlnet)	controlnet|instantid	60
ip-adapter-faceid-plus-sd15-lora	controlnet	ip|adapter|faceid|plus|sd15	Ip Adapter Faceid Plus Sd15 Lora	Ip Adapter Faceid Plus Sd15 Lora (controlnet)	controlnet|ipadapter	60
ip-adapter-faceid-plusv2-sd15-lora	controlnet	ip|adapter|faceid|plusv2|sd15	Ip Adapter Faceid Plusv2 Sd15 Lora	Ip Adapter Faceid Plusv2 Sd15 Lora (controlnet)	controlnet|ipadapter	60
ip-adapter-faceid-plusv2-sdxl-lora	controlnet	ip|adapter|faceid|plusv2|sdxl	Ip Adapter Faceid Plusv2 Sdxl Lora	Ip Adapter Faceid Plusv2 Sdxl Lora (controlnet)	controlnet|ipadapter	60
ip-adapter-faceid-sd15-lora	controlnet	ip|adapter|faceid|sd15|lora	Ip Adapter Faceid Sd15 Lora	Ip Adapter Faceid Sd15 Lora (controlnet)	controlnet|ipadapter	60
ip-adapter-faceid-sdxl-lora	controlnet	ip|adapter|faceid|sdxl|lora	Ip Adapter Faceid Sdxl Lora	Ip Adapter Faceid Sdxl Lora (controlnet)	controlnet|ipadapter	60
ip-adapter-full-face-sd15	controlnet	ip|adapter|full|face|sd15	Ip Adapter Full Face Sd15	Ip Adapter Full Face Sd15 (controlnet)	controlnet|ipadapter	60
ip-adapter-plus-face-sd15	controlnet	ip|adapter|plus|face|sd15	Ip Adapter Plus Face Sd15	Ip Adapter Plus Face Sd15 (controlnet)	controlnet|ipadapter	60
ip-adapter-plus-face-sdxl-vit-h	controlnet	ip|adapter|plus|face|sdxl	Ip Adapter Plus Face Sdxl Vit H	Ip Adapter Plus Face Sdxl Vit H (controlnet)	controlnet|ipadapter	60
ip-adapter-plus-sd15	controlnet	ip|adapter|plus|sd15	Ip Adapter Plus Sd15	Ip Adapter Plus Sd15 (controlnet)	controlnet|ipadapter	60
ip-adapter-plus-sdxl-vit-h	controlnet	ip|adapter|plus|sdxl|vit	Ip Adapter Plus Sdxl Vit H	Ip Adapter Plus Sdxl Vit H (controlnet)	controlnet|ipadapter	60
ip-adapter-pulid-sdxl	controlnet	ip|adapter|pulid|sdxl	Ip Adapter Pulid Sdxl	Ip Adapter Pulid Sdxl (controlnet)	controlnet|ipadapter	60
ip-adapter-sd15	controlnet	ip|adapter|sd15	Ip Adapter Sd15	Ip Adapter Sd15 (controlnet)	controlnet|ipadapter	60
ip-adapter-sd15-light	controlnet	ip|adapter|sd15|light	Ip Adapter Sd15 Light	Ip Adapter Sd15 Light (controlnet)	controlnet|ipadapter	60
ip-adapter-sd15-vit-g	controlnet	ip|adapter|sd15|vit|g	Ip Adapter Sd15 Vit G	Ip Adapter Sd15 Vit G (controlnet)	controlnet|ipadapter	60
ip-adapter-sdxl	controlnet	ip|adapter|sdxl	Ip Adapter Sdxl	Ip Adapter Sdxl (controlnet)	controlnet|ipadapter	60
ip-adapter-sdxl-vit-h	controlnet	ip|adapter|sdxl|vit|h	Ip Adapter Sdxl Vit H	Ip Adapter Sdxl Vit H (controlnet)	controlnet|ipadapter	60
qwen-image-instantx-controlnet-inpainting	controlnet	qwen-image-instantx-controlnet-inpainting|instantx|inpainting-control	Qwen InstantX Inpainting ControlNet	Qwen 即时修复控制网	qwen|controlnet|inpainting	90
qwen-image-instantx-controlnet-union	controlnet	qwen|image|instantx|controlnet|union	Qwen Image Instantx Controlnet Union	Qwen Image Instantx Controlnet Union (controlnet)	controlnet|controlnet	80
t2iadapter-depth-sd15v2	controlnet	t2iadapter|depth|sd15v2	T2Iadapter Depth Sd15V2	T2Iadapter Depth Sd15V2 (controlnet)	controlnet|controlnet	80
512-inpainting-ema	embedding	512-inpainting-ema|inpainting-ema|512	512 Inpainting EMA	512 分辨率修复嵌入	embedding|inpainting	70
prompt	embedding	prompt	Prompt Embedding	提示词嵌入模板	embedding|prompt	60
1girl-qwen	lora	1girl|qwen	1Girl Qwen	1Girl Qwen (lora)	lora|loras	80
644	lora	644	644	644 (lora)	lora|loras	80
77-foundfootage	lora	77|foundfootage	77 Foundfootage	77 Foundfootage (lora)	lora|loras	80
amateur%20photos%2090s	lora	amateur%20photos%2090s	Amateur%20Photos%2090S	Amateur%20Photos%2090S (lora)	lora|loras	80
anything2real-2601-a-final-patched	lora	anything2real|2601|a|final|patched	Anything2Real 2601 A Final Patched	Anything2Real 2601 A Final Patched (lora)	lora|loras	80
anythingtorealcharacters2511-20	lora	anythingtorealcharacters2511|20	Anythingtorealcharacters2511 20	Anythingtorealcharacters2511 20 (lora)	lora|loras	80
b3tternud3s-1-nsfw-lora	lora	b3tternud3s|1|nsfw|lora	B3Tternud3S 1 Nsfw Lora	B3Tternud3S 1 Nsfw Lora (lora)	lora|loras	80
blindboxmix	lora	blindboxmix	Blindboxmix	Blindboxmix (lora)	lora|loras	80
blue-hair-q2512	lora	blue|hair|q2512	Blue Hair Q2512	Blue Hair Q2512 (lora)	lora|loras	80
breast-size2-flux-lora	lora	breast|size2|flux|lora	Breast Size2 Flux Lora	Breast Size2 Flux Lora (lora)	lora|loras	80
ccppropagandaposter1-f16e6	lora	ccppropagandaposter1|f16e6	Ccppropagandaposter1 F16E6	Ccppropagandaposter1 F16E6 (lora)	lora|loras	80
cg-girlv1-p-鍐欏疄灏戝コ	lora	cg|girlv1|p|鍐欏疄灏戝コ	Cg Girlv1 P 鍐欏疄灏戝コ	Cg Girlv1 P 鍐欏疄灏戝コ (lora)	lora|loras	80
character design sheet	lora	character design sheet	Character Design Sheet	Character Design Sheet (lora)	lora|loras	80
consistent-char-min-park-z-image	lora	consistent|char|min|park|z	Consistent Char Min Park Z Image	Consistent Char Min Park Z Image (lora)	lora|loras	80
detail-lora	lora	detail|enhance	Detail LoRA	细节增强 LoRA	lora|quality	75
detailed-nipples-z	lora	detailed|nipples|z	Detailed Nipples Z	Detailed Nipples Z (lora)	lora|loras	80
edit-2511浜烘櫙鑹蹭氦浜?0-lora+	lora	edit|2511浜烘櫙鑹蹭氦浜?0|lora+	Edit 2511浜烘櫙鑹蹭氦浜?0 Lora+	Edit 2511浜烘櫙鑹蹭氦浜?0 Lora+ (lora)	lora|loras	80
edit-2511浜烘櫙铻嶅悎20	lora	edit|2511浜烘櫙铻嶅悎20	Edit 2511浜烘櫙铻嶅悎20	Edit 2511浜烘櫙铻嶅悎20 (lora)	lora|loras	80
elf	lora	elf	Elf	Elf (lora)	lora|loras	80
excellentfullnude-f2k4b-1-qwen-flux-nsfw	lora	excellentfullnude|f2k4b|1|qwen|flux	Excellentfullnude F2K4B 1 Qwen Flux Nsfw	Excellentfullnude F2K4B 1 Qwen Flux Nsfw (lora)	lora|loras	80
f2k-anything2real-a-patched	lora	f2k|anything2real|a|patched	F2K Anything2Real A Patched	F2K Anything2Real A Patched (lora)	lora|loras	80
face-lora	lora	face|portrait	Face LoRA	人脸专用 LoRA	lora|face	85
fantasypuppetstyle-濂囧够鏈ㄥ伓椋庢牸	lora	fantasypuppetstyle|濂囧够鏈ㄥ伓椋庢牸	Fantasypuppetstyle 濂囧够鏈ㄥ伓椋庢牸	Fantasypuppetstyle 濂囧够鏈ㄥ伓椋庢牸 (lora)	lora|loras	80
fastwan-t2v-14b-480p-lora-rank-128	lora	fastwan|t2v|14b|480p|lora	Fastwan T2V 14B 480P Lora Rank 128	Fastwan T2V 14B 480P Lora Rank 128 (lora)	lora|loras	80
femnude-qwen-image-2512-epoch30	lora	femnude|qwen|image|2512|epoch30	Femnude Qwen Image 2512 Epoch30	Femnude Qwen Image 2512 Epoch30 (lora)	lora|loras	80
firered-image-edit-1.0-lightning-8steps-v1.1	lora	firered|image|edit|1.0|lightning	Firered Image Edit 1.0 Lightning 8Steps V1.1	Firered Image Edit 1.0 Lightning 8Steps V1.1 (lora)	lora|loras	80
firered-image-edit-covercraft	lora	firered|image|edit|covercraft	Firered Image Edit Covercraft	Firered Image Edit Covercraft (lora)	lora|loras	80
firered-image-edit-makeup	lora	firered|image|edit|makeup	Firered Image Edit Makeup	Firered Image Edit Makeup (lora)	lora|loras	80
fk-missionary	lora	fk|missionary	Fk Missionary	Fk Missionary (lora)	lora|loras	80
flux-2-turbo-lora-comfyui-8steps	lora	flux|2|turbo|lora|comfyui	Flux 2 Turbo Lora Comfyui 8Steps	Flux 2 Turbo Lora Comfyui 8Steps (lora)	lora|loras	80
flux-fd-amatuermix-v2	lora	flux|fd|amatuermix|v2	Flux Fd Amatuermix V2	Flux Fd Amatuermix V2 (lora)	lora|loras	80
flux1-depth-dev-lora	lora	flux1|depth|dev|lora	Flux1 Depth Dev Lora	Flux1 Depth Dev Lora (lora)	lora|loras	80
flux2-4b-gydboy	lora	flux2|4b|gydboy	Flux2 4B Gydboy	Flux2 4B Gydboy (lora)	lora|loras	80
flux2-9b-gydboy	lora	flux2|9b|gydboy	Flux2 9B Gydboy	Flux2 9B Gydboy (lora)	lora|loras	80
flux2-9b-gydboy-000003500	lora	flux2|9b|gydboy|000003500	Flux2 9B Gydboy 000003500	Flux2 9B Gydboy 000003500 (lora)	lora|loras	80
flux2-9b-gydboy-000003750	lora	flux2|9b|gydboy|000003750	Flux2 9B Gydboy 000003750	Flux2 9B Gydboy 000003750 (lora)	lora|loras	80
flux2klein-anus-female	lora	flux2klein|anus|female	Flux2Klein Anus Female	Flux2Klein Anus Female (lora)	lora|loras	80
flux2klein-body-pawg	lora	flux2klein|body|pawg	Flux2Klein Body Pawg	Flux2Klein Body Pawg (lora)	lora|loras	80
flux2klein-body-version-a	lora	flux2klein|body|version|a	Flux2Klein Body Version A	Flux2Klein Body Version A (lora)	lora|loras	80
flux2klein-extract-tattoo	lora	flux2klein|extract|tattoo	Flux2Klein Extract Tattoo	Flux2Klein Extract Tattoo (lora)	lora|loras	80
flux2klein-nipple	lora	flux2klein|nipple	Flux2Klein Nipple	Flux2Klein Nipple (lora)	lora|loras	80
flux2klein-nsfw	lora	flux2klein|nsfw	Flux2Klein Nsfw	Flux2Klein Nsfw (lora)	lora|loras	80
flux2klein-place-tattoo	lora	flux2klein|place|tattoo	Flux2Klein Place Tattoo	Flux2Klein Place Tattoo (lora)	lora|loras	80
flux2klein-pussy	lora	flux2klein|pussy	Flux2Klein Pussy	Flux2Klein Pussy (lora)	lora|loras	80
flux2klein-slider-bust	lora	flux2klein|slider|bust	Flux2Klein Slider Bust	Flux2Klein Slider Bust (lora)	lora|loras	80
flux2klein-slider-detail	lora	flux2klein|slider|detail	Flux2Klein Slider Detail	Flux2Klein Slider Detail (lora)	lora|loras	80
frxxzhl	lora	frxxzhl	Frxxzhl	Frxxzhl (lora)	lora|loras	80
gemma-3-12b-it-abliterated-lora-rank64	lora	gemma|3|12b|it|abliterated	Gemma 3 12B It Abliterated Lora Rank64	Gemma 3 12B It Abliterated Lora Rank64 (lora)	lora|loras	80
genitals-helpere219	lora	genitals|helpere219	Genitals Helpere219	Genitals Helpere219 (lora)	lora|loras	80
goth%20girl%20influencer%2077	lora	goth%20girl%20influencer%2077	Goth%20Girl%20Influencer%2077	Goth%20Girl%20Influencer%2077 (lora)	lora|loras	80
